Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/03/2024,06/03/2024,SP HIYA HEALTH,Groceries,Sale,-35.56,
05/31/2024,06/02/2024,WWW.HIBOBBIE.COM,Shopping,Sale,-274.55,
05/17/2024,05/17/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-201.98,
05/13/2024,05/13/2024,Payment Thank You - Web,,Payment,1800.0,
05/12/2024,05/12/2024,SP GREAT GARDEN PLANTS,Home,Sale,-60.54,
05/11/2024,05/12/2024,CITY OF NAPERVILLE,Bills & Utilities,Sale,-249.0,
05/10/2024,05/12/2024,SP HIYA HEALTH,Groceries,Sale,-37.71,
05/09/2024,05/10/2024,SP HIYA HEALTH,Groceries,Sale,-37.71,
05/08/2024,05/08/2024,SP FASTGROWINGTREES,Home,Sale,-303.24,
05/07/2024,05/08/2024,WWW.HIBOBBIE.COM,Shopping,Sale,-274.55,
05/06/2024,05/07/2024,SP NEARLY NATURAL,Home,Sale,-294.58,
05/06/2024,05/07/2024,Akita Security Inc.,Professional Services,Sale,-45.39,
04/18/2024,04/18/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-197.77,
04/15/2024,04/15/2024,AUTOMATIC PAYMENT - THANK,,Payment,270.0,
04/13/2024,04/14/2024,WWW.HIBOBBIE.COM,Shopping,Sale,-274.55,
04/11/2024,04/12/2024,CITY OF NAPERVILLE,Bills & Utilities,Sale,-253.36,
04/09/2024,04/09/2024,SP HIYA HEALTH,Groceries,Sale,-37.71,
04/08/2024,04/09/2024,Akita Security Inc.,Professional Services,Sale,-45.39,
04/05/2024,04/07/2024,Illinois State Lottery,Entertainment,Sale,-30.0,
04/03/2024,04/04/2024,Illinois State Lottery,Entertainment,Sale,-26.0,
03/30/2024,03/31/2024,LYFT * RIDE -,Travel,Sale,-14.84,
03/26/2024,03/27/2024,SP SKIMS,Shopping,Return,54.34,
03/23/2024,03/24/2024,SP MODERNANDCHIC,Shopping,Sale,-62.95,
03/20/2024,03/21/2024,WWW.HIBOBBIE.COM,Shopping,Sale,-274.55,
03/18/2024,03/18/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-170.97,
03/14/2024,03/14/2024,Payment Thank You - Web,,Payment,500.0,
03/12/2024,03/13/2024,WCI*WASTE CONNECTIONS,Bills & Utilities,Sale,-185.0,
03/11/2024,03/12/2024,CITY OF NAPERVILLE,Bills & Utilities,Sale,-271.63,
03/11/2024,03/11/2024,SP HIYA HEALTH,Groceries,Sale,-18.85,
03/09/2024,03/10/2024,SP ROTHYS,Shopping,Sale,-137.06,
03/06/2024,03/07/2024,Akita Security Inc.,Professional Services,Sale,-45.39,
03/06/2024,03/07/2024,WALMART.COM,Shopping,Sale,-10.46,
02/26/2024,02/27/2024,Akita Security Inc.,Professional Services,Sale,-45.39,
02/26/2024,02/27/2024,SP SKIMS,Shopping,Sale,-157.33,
02/25/2024,02/25/2024,SP RINSELILLY.COM,Shopping,Sale,-42.46,
02/24/2024,02/25/2024,SP MELISSA AND DOUG,Shopping,Sale,-51.7,
02/25/2024,02/25/2024,WWW.HIBOBBIE.COM,Shopping,Sale,-274.55,
02/18/2024,02/18/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-186.98,
02/15/2024,02/15/2024,Payment Thank You - Web,,Payment,1500.0,
02/11/2024,02/12/2024,CITY OF NAPERVILLE,Bills & Utilities,Sale,-297.77,
02/01/2024,02/02/2024,WWW.HIBOBBIE.COM,Shopping,Sale,-274.55,
01/19/2024,01/22/2024,CHEFKNIVESTOGO,Home,Sale,-61.93,
01/21/2024,01/22/2024,AMZN Mktp US*RTY,Shopping,Sale,-157.26,
01/20/2024,01/21/2024,AMZN Mktp US*RLRNP,Shopping,Sale,-26.36,
01/17/2024,01/19/2024,BUIKEMA S ACE HARDWARE #,Home,Sale,-21.54,
01/18/2024,01/18/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-138.2,
01/15/2024,01/15/2024,Payment Thank You - Web,,Payment,2000.0,
01/14/2024,01/15/2024,COSTCO WHSE#,Shopping,Sale,-350.46,
01/14/2024,01/15/2024,COSTCO WHSE#,Shopping,Sale,-3.79,
01/11/2024,01/12/2024,CITY OF NAPERVILLE,Bills & Utilities,Sale,-223.07,
01/11/2024,01/12/2024,KRISERS NAPERVILLE,Shopping,Sale,-107.73,
01/12/2024,01/12/2024,Akita Security Inc.,Professional Services,Sale,-45.39,
