"Date","Transaction","Name","Memo","Amount"
"2024-01-22","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004022898000026511; 05300; ; ; ;","-266.64"
"2024-01-22","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004022898002358979; 05300; ; ; ;","-3.79"
"2024-01-23","DEBIT","SIF CAR CARE LLC       NAPERVILLE    IL","24269794022500518994535; 07542; ; ; ;","-15.00"
"2024-01-24","DEBIT","AMZN Mktp US*R85620RN2 Amzn.com/bill WA","24692164023100182924801; 05942; ; ; ;","-64.64"
"2024-01-25","DEBIT","BUIKEMA S ACE HARDWARE NAPERVILLE    IL","24137464024100365849433; 05251; ; ; ;","-20.46"
"2024-01-25","DEBIT","EVERWASH 215-618-8808  HTTPSEVERWASH PA","24011344024000050386136; 05734; ; ; ;","-14.50"
"2024-01-25","DEBIT","VOLVO OF LISLE         LISLE         IL","24223694024017018208550; 05511; ; ; ;","-41.39"
"2024-01-25","DEBIT","EOLA POINT ANIMAL HOSP AURORA        IL","24445004024300404287394; 00742; ; ; ;","-54.00"
"2024-01-29","DEBIT","AMZN Mktp US*R010P6V21 Amzn.com/bill WA","24692164029104526274067; 05942; ; ; ;","-10.76"
"2024-01-29","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004028898000048774; 05300; ; ; ;","-335.39"
"2024-01-30","DEBIT","AMZN Mktp US*R06LY05E1 Amzn.com/bill WA","24692164029104741650471; 05942; ; ; ;","-32.80"
"2024-01-30","DEBIT","SP 32DEGREES           32DEGREES.MYS NY","24492164029000026109237; 05691; ; ; ;","-29.71"
"2024-01-31","DEBIT","AMAZON RET* 112-103174 WWW.AMAZON.CO WA","24011344030000023189536; 05331; ; ; ;","-8.60"
"2024-01-31","DEBIT","BARBER HAUS            SHOPS.GETSQUI NY","24492164030000035688814; 07230; ; ; ;","-73.00"
"2024-02-01","DEBIT","Amazon.com*R20IC0ZZ2   Amzn.com/bill WA","24692164031106297959434; 05942; ; ; ;","-56.88"
"2024-02-05","DEBIT","AMZN Mktp US*R29ER37I2 Amzn.com/bill WA","24692164035109856732248; 05942; ; ; ;","-37.68"
"2024-02-05","DEBIT","AMZN Mktp US*RB4L27350 Amzn.com/bill WA","24692164035109925168689; 05942; ; ; ;","-23.25"
"2024-02-05","DEBIT","AMZN Mktp US*RB5M803G0 Amzn.com/bill WA","24692164035109924495091; 05942; ; ; ;","-9.87"
"2024-02-05","DEBIT","Amazon.com*RB6893NM0   Amzn.com/bill WA","24692164035109908195295; 05942; ; ; ;","-48.48"
"2024-02-05","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004036898000038445; 05300; ; ; ;","-357.43"
"2024-02-05","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004036898002351119; 05300; ; ; ;","-3.79"
"2024-02-05","DEBIT","ANDERSONS BKSH         NAPERVILLE    IL","24943004036400487000335; 05942; ; ; ;","-47.38"
"2024-02-05","DEBIT","SP 32DEGREES           32DEGREES.MYS NY","24492164034000042295401; 05691; ; ; ;","-59.96"
"2024-02-05","DEBIT","AMAZON RET* 112-737993 WWW.AMAZON.CO WA","24011344035000005884208; 05331; ; ; ;","-46.68"
"2024-02-06","DEBIT","AMAZON.COM*RB0XQ1FD2   SEATTLE       WA","24431064037083713933842; 05942; ; ; ;","-76.16"
"2024-02-12","DEBIT","TARGET        00019034 WARRENVILLE   IL","24164074042091253055855; 05411; ; ; ;","-175.20"
"2024-02-12","DEBIT","AMZN Mktp US*RI3GH74H0 Amzn.com/bill WA","24692164041101449955669; 05942; ; ; ;","-28.74"
"2024-02-12","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004042898000068253; 05300; ; ; ;","-340.59"
"2024-02-12","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004042898000925759; 05912; ; ; ;","-7.82"
"2024-02-12","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004042898002355401; 05300; ; ; ;","-3.79"
"2024-02-13","DEBIT","AMZN Mktp US*RI9P181P0 Amzn.com/bill WA","24692164043102853338135; 05942; ; ; ;","-19.38"
"2024-02-14","DEBIT","PLAYROOM CAFE TWO LLC NAPERVILLE    IL","24692164044103663221437; 05812; ; ; ;","-7.67"
"2024-02-14","DEBIT","PLAYROOM CAFE TWO LLC NAPERVILLE    IL","24692164044103663221379; 05812; ; ; ;","-16.00"
"2024-02-14","DEBIT","WALGREENS #3405        NAPERVILLE    IL","24445004045000840255196; 05912; ; ; ;","-8.83"
"2024-02-16","DEBIT","AMZN Mktp US*RB62K8WQ1 Amzn.com/bill WA","24692164047105769982975; 05942; ; ; ;","-10.52"
"2024-02-20","DEBIT","AMZN Mktp US*RI8AW2WL2 Amzn.com/bill WA","24692164050108653231800; 05942; ; ; ;","-112.92"
"2024-02-20","DEBIT","AMZN Mktp US*RW8T57TY0 Amzn.com/bill WA","24692164049107524420067; 05942; ; ; ;","-45.24"
"2024-02-20","DEBIT","AMZN Mktp US*RI5CQ9TH1 Amzn.com/bill WA","24692164049107697477787; 05942; ; ; ;","-27.60"
"2024-02-20","DEBIT","AMAZON RET* 112-426348 WWW.AMAZON.CO WA","24011344049000051624791; 05331; ; ; ;","-96.96"
"2024-02-20","DEBIT","COSTCO GAS #1443       NAPERVILLE    IL","24943004050898110985551; 05542; ; ; ;","-38.83"
"2024-02-20","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004050898000026789; 05300; ; ; ;","-234.12"
"2024-02-20","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004050898002355301; 05300; ; ; ;","-2.92"
"2024-02-20","DEBIT","Amazon.com*RW2SC1NL0   Amzn.com/bill WA","24692164048107104824366; 05942; ; ; ;","-49.50"
"2024-02-20","DEBIT","Amazon.com*RI8O39SQ2   Amzn.com/bill WA","24692164048107277159533; 05942; ; ; ;","-47.48"
"2024-02-21","DEBIT","Amazon.com*RW9ZE78U0   Amzn.com/bill WA","24692164051109170115178; 05942; ; ; ;","-19.90"
"2024-02-22","DEBIT","AMZN Mktp US*RW58B42T0 Amzn.com/bill WA","24692164052109954870831; 05942; ; ; ;","-25.85"
"2024-02-22","DEBIT","AMZN Mktp US*RI4L102R1 Amzn.com/bill WA","24692164053100442660057; 05942; ; ; ;","-13.52"
"2024-02-23","DEBIT","THE CLEANING AUTHORITY 847-302-3909  IL","24269794053300674610922; 07349; ; ; ;","-299.00"
"2024-02-26","DEBIT","Amazon.com*RZ62O01X0   Amzn.com/bill WA","24692164056103123959183; 05942; ; ; ;","-8.60"
"2024-02-26","DEBIT","EVERWASH 215-618-8808  HTTPSEVERWASH PA","24011344055000059500564; 05734; ; ; ;","-29.00"
"2024-02-26","DEBIT","AMZN Mktp US*RW7UN2VA2 Amzn.com/bill WA","24692164054101615507439; 05942; ; ; ;","-21.54"
"2024-02-26","DEBIT","AMAZON.COM*RW6OT9MG2   SEATTLE       WA","24431064054083719237717; 05942; ; ; ;","-18.71"
"2024-02-26","DEBIT","AMZN Mktp US*RI6TB2YF1 Amzn.com/bill WA","24692164054101892313386; 05942; ; ; ;","-40.91"
"2024-02-27","DEBIT","AMZN Mktp US*RW0XC99I2 Amzn.com/bill WA","24692164057103913069390; 05942; ; ; ;","-20.45"
"2024-02-27","DEBIT","AMAZON RET* 112-373986 WWW.AMAZON.CO WA","24011344058000015478720; 05331; ; ; ;","-11.03"
"2024-02-27","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004058898000043976; 05300; ; ; ;","-322.47"
"2024-02-28","DEBIT","AMZN Mktp US*RZ9NN1C62 Amzn.com/bill WA","24692164058104769805795; 05942; ; ; ;","-23.65"
"2024-02-28","DEBIT","Amazon.com*RZ1XD9KW0   Amzn.com/bill WA","24692164058105050128029; 05942; ; ; ;","-19.70"
"2024-03-01","DEBIT","AMAZON.COM*RW4X67IU1   SEATTLE       WA","24431064060083325334215; 05942; ; ; ;","-10.76"
"2024-03-04","DEBIT","AMZN Mktp US*RN6BO7XN0 Amzn.com/bill WA","24692164063109174515254; 05942; ; ; ;","-23.60"
"2024-03-04","DEBIT","SQ *SWEET HOME GELATO  Naperville    IL","24692164063109602845034; 05814; ; ; ;","-14.45"
"2024-03-04","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004064898000028052; 05300; ; ; ;","-192.61"
"2024-03-04","DEBIT","ANDERSONS BKSH         NAPERVILLE    IL","24943004064400485000969; 05942; ; ; ;","-10.76"
"2024-03-04","DEBIT","Amazon Prime*RZ51C58R2 Amzn.com/bill WA","24692164062108526885259; 05968; ; ; ;","-139.00"
"2024-03-04","DEBIT","AMZN Mktp US*RZ9S99QD2 Amzn.com/bill WA","24692164062108689050162; 05942; ; ; ;","-40.10"
"2024-03-04","DEBIT","ACT*Dupage Forest      866-5610647   IL","24013394062000228338437; 07999; ; ; ;","-55.00"
"2024-03-04","DEBIT","AMAZON.COM*RZ2M96D32   SEATTLE       WA","24431064063083334899312; 05942; ; ; ;","-25.42"
"2024-03-04","DEBIT","AMZN Mktp US*RW8SM6YC1 Amzn.com/bill WA","24692164061107366521306; 05942; ; ; ;","-13.99"
"2024-03-04","DEBIT","AMZN MKTP US*RZ0Q70C21 SEATTLE       WA","24431064061083726319137; 05942; ; ; ;","-57.95"
"2024-03-04","DEBIT","EOLA POINT ANIMAL HOSP AURORA        IL","24445004061300516112641; 00742; ; ; ;","-54.00"
"2024-03-06","DEBIT","LATE FEE - PAYMENT DUE ON 03/06","; ; ; ; ;","-30.00"
"2024-03-06","DEBIT","LOT A EPS              CHICAGO       IL","24445004065500348366309; 07523; ; ; ;","-6.00"
"2024-03-06","DEBIT","CAFE DESCARTES T3 BAGG CHICAGO       IL","24692164065101004371386; 05814; ; ; ;","-4.46"
"2024-03-07","CREDIT","INTERNET PAYMENT THANK YOU","INTERNET; ; ; ; ;","300.00"
"2024-03-08","DEBIT","THE CLEANING AUTHORITY 847-302-3909  IL","24269794067300673375737; 07349; ; ; ;","-299.00"
"2024-03-08","DEBIT","AMAZON.COM*R69444ZY0   SEATTLE       WA","24431064068083743474165; 05942; ; ; ;","-7.68"
"2024-03-11","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004070898000049084; 05300; ; ; ;","-136.60"
"2024-03-11","DEBIT","ANDERSONS BKSH         NAPERVILLE    IL","24943004070400503000324; 05942; ; ; ;","-16.15"
"2024-03-11","DEBIT","LUCKY DOG DAYCARE AND  630-969-3647  IL","24251384068030052326345; 05995; ; ; ;","-123.60"
"2024-03-11","DEBIT","KRISERS NAPERVILLE     NAPERVILLE    IL","24017944069400285000121; 05995; ; ; ;","-50.63"
"2024-03-11","DEBIT","JIMMY JOHNS - 104      NAPERVILLE    IL","24269794069001092866177; 05814; ; ; ;","-23.53"
"2024-03-12","DEBIT","AMZN Mktp US*RN9YP9YQ2 Amzn.com/bill WA","24692164071105616557615; 05942; ; ; ;","-3.22"
"2024-03-12","DEBIT","AMAZON.COM*RN4DJ5YE2   SEATTLE       WA","24431064071083746354484; 05942; ; ; ;","-0.04"
"2024-03-12","DEBIT","Amazon.com*RN9640VP1   Amzn.com/bill WA","24692164071105921912257; 05942; ; ; ;","-38.08"
"2024-03-14","DEBIT","SQ *ELLIE?S DELI       gosq.com      IL","24692164073107509803567; 05814; ; ; ;","-20.11"
"2024-03-14","DEBIT","KRISERS NAPERVILLE     NAPERVILLE    IL","24017944074400285000199; 05995; ; ; ;","-101.26"
"2024-03-15","DEBIT","Amazon.com*R68VC1522   Amzn.com/bill WA","24692164074108272541391; 05942; ; ; ;","-39.67"
"2024-03-18","DEBIT","Amazon.com*R639K6AH1   Amzn.com/bill WA","24692164077100625983781; 05942; ; ; ;","-32.35"
"2024-03-18","DEBIT","Amazon.com*R676E0ZW1   Amzn.com/bill WA","24692164076109694334041; 05942; ; ; ;","-12.65"
"2024-03-18","DEBIT","AMZN Mktp US*RH3MK4PW0 Amzn.com/bill WA","24692164076100116781042; 05942; ; ; ;","-21.54"
"2024-03-18","DEBIT","AMAZON.COM*RH0R621X0   SEATTLE       WA","24431064076083348996893; 05942; ; ; ;","-26.93"
"2024-03-18","DEBIT","Amazon.com*R68DM6IZ2   Amzn.com/bill WA","24692164077100285098003; 05942; ; ; ;","-15.25"
"2024-03-18","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004077898000055985; 05300; ; ; ;","-326.63"
"2024-03-18","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004077898002323555; 05300; ; ; ;","-1.63"
"2024-03-18","DEBIT","ANDERSONS BKSH         NAPERVILLE    IL","24943004077400407000423; 05942; ; ; ;","-14.00"
"2024-03-20","DEBIT","AMZN Mktp US*RH4FZ9T42 Amzn.com/bill WA","24692164079102163750828; 05942; ; ; ;","-4.15"
"2024-03-20","DEBIT","Amazon.com*RH3PN0TA2   Amzn.com/bill WA","24692164079102239236448; 05942; ; ; ;","-22.85"
"2024-03-21","DEBIT","AMZN MKTP US*RH6FQ5RH0 SEATTLE       WA","24431064080083340808256; 05942; ; ; ;","-10.76"
"2024-03-21","DEBIT","AMZN Mktp US*RH9595WY0 Amzn.com/bill WA","24692164080103094348549; 05942; ; ; ;","-34.47"
"2024-03-22","DEBIT","THE CLEANING AUTHORITY 847-302-3909  IL","24269794081300682197397; 07349; ; ; ;","-229.00"
"2024-03-22","DEBIT","CVS/PHARMACY #00833    NAPERVILLE    IL","24137464082001306678437; 05912; ; ; ;","-18.31"
"2024-03-25","DEBIT","TARGET        00019034 WARRENVILLE   IL","24164074084091249919064; 05411; ; ; ;","-230.98"
"2024-03-25","DEBIT","BINNYS BEVERAGE DEPOT  NILES         IL","24717054084730843821549; 05921; ; ; ;","-117.92"
"2024-03-25","DEBIT","EVERWASH 215-618-8808  HTTPSEVERWASH PA","24011344084000056511239; 05734; ; ; ;","-29.00"
"2024-03-25","DEBIT","COSTCO WHSE#1443       NAPERVILLE    IL","24943004085898000020666; 05300; ; ; ;","-300.82"
"2024-03-25","DEBIT","KRISERS NAPERVILLE     NAPERVILLE    IL","24017944085400287000343; 05995; ; ; ;","-57.10"
"2024-03-25","DEBIT","Amazon.com*RA7CA6XT0   Amzn.com/bill WA","24692164084106121855432; 05942; ; ; ;","-25.26"
"2024-03-25","DEBIT","KRAMER IMAGING         NAPERVILLE    IL","24005954082900012907890; 07221; ; ; ;","-60.00"
