,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0,06/08/2024,06/09/2024,COOPERS HAWK WINE C D,Food & Drink,Sale,-15.0,
1,06/04/2024,06/05/2024,GOING.COM/HELP,Bills & Utilities,Sale,-49.0,
2,06/04/2024,06/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
3,06/03/2024,06/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.44,
4,05/30/2024,05/31/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.0,
5,05/28/2024,05/29/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
6,05/28/2024,05/28/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
7,05/19/2024,05/20/2024,The Roku Channel,Bills & Utilities,Sale,-5.99,
8,05/12/2024,05/12/2024,Payment Thank You - Web,,Payment,193.67,
9,05/05/2024,05/05/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
10,05/03/2024,05/05/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.41,
11,04/30/2024,04/30/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.0,
12,04/28/2024,04/29/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
13,04/23/2024,04/23/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
14,04/19/2024,04/21/2024,The Roku Channel,Bills & Utilities,Sale,-5.99,
15,04/12/2024,04/12/2024,Payment Thank You - Web,,Payment,279.66,
16,04/04/2024,04/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
17,04/03/2024,04/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.48,
18,03/30/2024,03/31/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.0,
19,03/28/2024,03/28/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
20,03/26/2024,03/26/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
21,03/19/2024,03/20/2024,The Roku Channel,Bills & Utilities,Sale,-5.99,
22,03/13/2024,03/13/2024,Payment Thank You - Web,,Payment,232.21,
23,03/08/2024,03/10/2024,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
24,03/04/2024,03/06/2024,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-55.0,
25,03/04/2024,03/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
26,03/03/2024,03/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.48,
27,03/02/2024,03/03/2024,IL TOLLWAY-AUTOREPLENISH,Travel,Sale,-20.0,
28,03/01/2024,03/01/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.0,
29,02/28/2024,02/29/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
30,02/27/2024,02/28/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
31,02/19/2024,02/20/2024,The Roku Channel,Bills & Utilities,Sale,-5.99,
32,02/16/2024,02/16/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-33.42,
33,02/14/2024,02/14/2024,Payment Thank You - Web,,Payment,1537.45,
34,02/08/2024,02/09/2024,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
35,02/04/2024,02/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
36,02/03/2024,02/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.6,
37,01/30/2024,01/30/2024,COMCAST CHICAGO,Bills & Utilities,Sale,-121.0,
38,01/28/2024,01/29/2024,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
39,01/23/2024,01/23/2024,COOPERSHAWK,Food & Drink,Sale,-44.99,
40,01/17/2024,01/17/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-103.09,
41,01/13/2024,01/14/2024,Payment Thank You - Web,,Payment,3300.0,
42,01/11/2024,01/12/2024,COOPERS HAWK WINE C D,Food & Drink,Sale,-9.0,
43,01/08/2024,01/09/2024,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
44,01/04/2024,01/04/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.26,
45,01/03/2024,01/04/2024,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.69,
46,12/30/2023,12/31/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
47,12/28/2023,12/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
48,12/26/2023,12/27/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
49,12/17/2023,12/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-105.51,
50,12/13/2023,12/13/2023,Payment Thank You - Web,,Payment,2000.0,
51,12/12/2023,12/13/2023,VEGA US,Groceries,Sale,-6.95,
52,12/08/2023,12/10/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
