Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/09/2024,06/10/2024,AIR TRANSAT S6XJFY,Travel,Sale,-219.83,
06/09/2024,06/10/2024,AIR TRANSAT S6XJFY,Travel,Sale,-2956.63,
06/08/2024,06/09/2024,COOPERS HAWK NAPERVILLE,Food & Drink,Sale,-7.38,
06/07/2024,06/09/2024,GLO NAIL LOUNGE,Personal,Sale,-65.00,
06/07/2024,06/09/2024,TST* JOJOS SHAKE BAR - N,Food & Drink,Sale,-7.65,
06/07/2024,06/07/2024,Payment Thank You - Web,,Payment,2000.00,
06/06/2024,06/07/2024,LinkedIn Pre P65858094,Bills & Utilities,Sale,-69.99,
06/05/2024,06/06/2024,DD DOORDASH NICKSREDH,Food & Drink,Sale,-58.61,
06/03/2024,06/04/2024,CASEYS FOODS,Groceries,Sale,-27.88,
06/01/2024,06/03/2024,TRADER JOE S #690,Groceries,Sale,-34.81,
06/02/2024,06/03/2024,CHIPOTLE ONLINE,Food & Drink,Sale,-255.34,
05/31/2024,06/02/2024,SHRED415,Health & Wellness,Sale,-169.00,
05/29/2024,05/29/2024,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-182.56,
05/28/2024,05/28/2024,DD DOORDASH JIMMYJOHN,Food & Drink,Sale,-73.75,
05/26/2024,05/28/2024,EVEREVE - 11,Shopping,Sale,-710.07,
05/26/2024,05/28/2024,LULULEMON NAPERVILLE,Shopping,Sale,-190.67,
05/26/2024,05/27/2024,KRISERS NAPERVILLE,Shopping,Sale,-117.42,
05/25/2024,05/26/2024,DD DOORDASH DASHMART,Food & Drink,Sale,-20.81,
05/24/2024,05/26/2024,SQ *SWEET HOME GELATO,Food & Drink,Sale,-22.03,
05/22/2024,05/24/2024,STARBUCKS STORE 11492,Food & Drink,Sale,-7.70,
05/23/2024,05/23/2024,UBER   TRIP,Travel,Sale,-101.93,
05/23/2024,05/23/2024,UBER   TRIP,Travel,Sale,-112.42,
05/21/2024,05/22/2024,SMALL SMILES LLC,Health & Wellness,Sale,-114.97,
05/20/2024,05/21/2024,TST* DEETTAS BAKERY,Food & Drink,Sale,-127.19,
05/20/2024,05/21/2024,RITUAL (RITUAL.COM),Groceries,Sale,-33.58,
05/18/2024,05/20/2024,FSP*BOUNCE HOUSES R US LL,Entertainment,Sale,-50.00,
05/18/2024,05/20/2024,TST* SPARROW COFFEE NAPER,Food & Drink,Sale,-14.35,
05/18/2024,05/19/2024,SP PARIS312,Shopping,Sale,-503.85,
05/17/2024,05/19/2024,GLO NAIL LOUNGE,Personal,Sale,-65.00,
05/16/2024,05/17/2024,LONGEVITY SPA - NAPERV,Health & Wellness,Sale,-575.00,
05/13/2024,05/15/2024,LIL ANGELS PHOTOGRAPHY,Shopping,Sale,-80.81,
05/12/2024,05/14/2024,STARBUCKS STORE 71123,Food & Drink,Sale,-6.71,
05/11/2024,05/13/2024,THE GROWING PLACE   NAPER,Home,Sale,-459.20,
05/12/2024,05/13/2024,WORLD MARKET ECOMM,Home,Sale,-68.95,
05/11/2024,05/13/2024,STARBUCKS STORE 60979,Food & Drink,Sale,-11.01,
05/12/2024,05/13/2024,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-67.43,
05/10/2024,05/10/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-122.74,
05/08/2024,05/08/2024,Payment Thank You - Web,,Payment,3500.00,
05/06/2024,05/08/2024,HOMEDEPOT.COM,Home,Sale,-59.94,
05/06/2024,05/07/2024,WORLD MARKET ECOMM,Home,Sale,-1018.21,
05/06/2024,05/07/2024,LinkedIn Pre 9530668406,Bills & Utilities,Sale,-69.99,
05/05/2024,05/06/2024,THE GROWING PLACE   NAPER,Home,Sale,-614.80,
05/04/2024,05/06/2024,STARBUCKS STORE 60979,Food & Drink,Sale,-12.40,
05/03/2024,05/05/2024,GLO NAIL LOUNGE,Personal,Sale,-75.00,
05/03/2024,05/05/2024,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-58.40,
04/30/2024,05/01/2024,SHRED415,Health & Wellness,Sale,-169.00,
04/27/2024,04/29/2024,PLAYROOM CAFE TWO  LLC,Food & Drink,Sale,-21.86,
04/27/2024,04/28/2024,DD DOORDASH AURELIOSP,Food & Drink,Sale,-61.10,
04/27/2024,04/28/2024,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-29.90,
04/27/2024,04/28/2024,DD DOORDASH JEWEL-OSC,Food & Drink,Sale,-29.47,
04/24/2024,04/25/2024,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-29.90,
04/24/2024,04/25/2024,DD DOORDASH SWEETGREE,Food & Drink,Sale,-52.40,
04/20/2024,04/22/2024,PLAYROOM CAFE TWO  LLC,Food & Drink,Sale,-2.16,
04/20/2024,04/22/2024,PLAYROOM CAFE TWO  LLC,Food & Drink,Sale,-21.15,
04/21/2024,04/22/2024,TARGET        00019034,Groceries,Sale,-453.88,
04/20/2024,04/22/2024,GLO NAIL LOUNGE,Personal,Sale,-65.00,
04/20/2024,04/21/2024,RITUAL (RITUAL.COM),Groceries,Sale,-33.58,
04/20/2024,04/21/2024,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-58.39,
04/17/2024,04/19/2024,RESIDENCE INN VANCOUVE,Travel,Sale,-713.21,
04/18/2024,04/19/2024,UBER   TRIP,Travel,Sale,-68.11,
04/17/2024,04/19/2024,HUDSON ST1518,Shopping,Sale,-20.17,
04/16/2024,04/18/2024,THE MORRISSEY,Food & Drink,Sale,-12.11,
04/16/2024,04/18/2024,STARBUCKS COFFEE #2461,Food & Drink,Sale,-10.60,
04/17/2024,04/18/2024,ROOT98,Food & Drink,Sale,-14.83,
04/17/2024,04/18/2024,UBER CANADA/UBERTRIP,Travel,Sale,-46.75,
04/17/2024,04/18/2024,DD DOORDASH AURELIOSP,Food & Drink,Sale,-49.39,
04/15/2024,04/17/2024,STARBUCKS COFFEE #2461,Food & Drink,Sale,-10.64,
04/15/2024,04/16/2024,UBER CANADA/UBERTRIP,Travel,Sale,-4.44,
04/15/2024,04/16/2024,UBER CANADA/UBERTRIP,Travel,Sale,-29.66,
04/14/2024,04/16/2024,CARRY OUT CARRY ON T2,Food & Drink,Sale,-11.65,
04/15/2024,04/16/2024,UBER* TRIP,Travel,Sale,-12.79,
04/15/2024,04/16/2024,SUSHI TENDO,Food & Drink,Sale,-49.60,
04/14/2024,04/15/2024,DD DOORDASH SWEETGREE,Food & Drink,Sale,-57.83,
04/14/2024,04/15/2024,UBER   TRIP,Travel,Sale,-65.25,
04/13/2024,04/14/2024,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-27.74,
04/11/2024,04/11/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-66.90,
04/10/2024,04/11/2024,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-183.00,
04/08/2024,04/08/2024,Payment Thank You - Web,,Payment,3000.00,
04/06/2024,04/08/2024,STARBUCKS STORE 60979,Food & Drink,Sale,-2.12,
04/06/2024,04/08/2024,STARBUCKS STORE 60979,Food & Drink,Sale,-19.54,
04/05/2024,04/07/2024,SHRED415,Health & Wellness,Sale,-8.00,
04/05/2024,04/07/2024,DD DOORDASH SWEETGREE,Food & Drink,Sale,-57.83,
04/06/2024,04/07/2024,LinkedIn Pre 9424791626,Bills & Utilities,Sale,-69.99,
04/06/2024,04/07/2024,CASEYS FOODS,Groceries,Sale,-50.63,
04/04/2024,04/05/2024,TST* SPARROW COFFEE NAPER,Food & Drink,Sale,-12.15,
04/01/2024,04/02/2024,TST* SPARROW COFFEE NAPER,Food & Drink,Sale,-14.35,
03/31/2024,04/02/2024,TST* SPARROW COFFEE NAPER,Food & Drink,Sale,-4.38,
03/31/2024,04/01/2024,SHRED415,Health & Wellness,Sale,-169.00,
03/31/2024,04/01/2024,WHOLEFDS NPV 10129,Groceries,Sale,-115.09,
03/29/2024,03/31/2024,GLO NAIL LOUNGE,Personal,Sale,-130.00,
03/23/2024,03/25/2024,STARBUCKS STORE 60979,Food & Drink,Sale,-19.76,
03/22/2024,03/24/2024,CL *Chase Travel,Travel,Sale,-1953.25,
03/21/2024,03/22/2024,DD DOORDASH SWEETGREE,Food & Drink,Sale,-63.14,
03/21/2024,03/22/2024,RITUAL (RITUAL.COM),Groceries,Sale,-33.58,
03/19/2024,03/20/2024,SQ *LASERAWAY NAPERVILLE,Personal,Sale,-44.77,
03/17/2024,03/19/2024,STARBUCKS STORE 60979,Food & Drink,Sale,-19.65,
03/15/2024,03/18/2024,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-49.63,
03/16/2024,03/17/2024,SEPHORA NAPERVILLE,Shopping,Sale,-190.73,
03/16/2024,03/17/2024,SHRED415,Health & Wellness,Sale,-8.00,
03/13/2024,03/15/2024,COURTYARD SANTA MONICA,Travel,Sale,-28.46,
03/13/2024,03/15/2024,COURTYARD SANTA MONICA,Travel,Sale,-13.23,
03/13/2024,03/15/2024,COURTYARD SANTA MONICA,Travel,Sale,-0.51,
03/13/2024,03/15/2024,LAX AIRP BGRILL BY BOA,Food & Drink,Sale,-20.62,
03/14/2024,03/15/2024,UBER   TRIP,Travel,Sale,-90.78,
03/13/2024,03/14/2024,TARGET        00033449,Shopping,Sale,-13.90,
03/12/2024,03/14/2024,COURTYARD SANTA MONICA,Travel,Sale,-19.09,
03/14/2024,03/14/2024,UBER   TRIP,Travel,Sale,-61.28,
03/11/2024,03/13/2024,STARBUCKS B09 ORD,Food & Drink,Sale,-24.34,
03/11/2024,03/12/2024,UBER   TRIP,Travel,Sale,-11.99,
03/10/2024,03/12/2024,DSW SPRINGBROOK PRAIRIE P,Shopping,Sale,-99.10,
03/11/2024,03/12/2024,UBER   TRIP,Travel,Sale,-79.95,
03/11/2024,03/12/2024,UBER   TRIP,Travel,Sale,-60.90,
03/11/2024,03/11/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-180.61,
03/10/2024,03/11/2024,WHOLEFDS NPV 10129,Groceries,Sale,-43.41,
03/09/2024,03/10/2024,LOFT 1332 MAIN ST PROMEN,Shopping,Sale,-201.96,
03/09/2024,03/10/2024,DD DOORDASH LAOSZECHU,Food & Drink,Sale,-130.43,
03/09/2024,03/10/2024,WALMART.COM,Shopping,Sale,-48.49,
03/08/2024,03/08/2024,Payment Thank You - Web,,Payment,11432.78,
03/06/2024,03/07/2024,LinkedIn Pre 9308188946,Bills & Utilities,Sale,-69.99,
03/04/2024,03/07/2024,AIR CAN*    0144262387538,Travel,Sale,-30.05,
03/06/2024,03/07/2024,SHRED415,Health & Wellness,Sale,-15.00,
03/04/2024,03/07/2024,BOOSTER JUICE #423,Food & Drink,Sale,-10.00,
03/06/2024,03/06/2024,LE CHOCOLAT DU BOUCHARD,Food & Drink,Sale,-56.64,
03/04/2024,03/06/2024,CHICAGO O'HARE INTERNA,Home,Sale,-7.00,
03/04/2024,03/05/2024,COCA COLA BRAMPTON ON,Food & Drink,Sale,-2.95,
03/04/2024,03/05/2024,AIR CANADA  0144262079362,Travel,Sale,-30.00,
03/04/2024,03/05/2024,HUDSONNEWS  ST1185,Shopping,Sale,-18.10,
03/02/2024,03/04/2024,STARBUCKS T2 MAIN ORD,Food & Drink,Sale,-21.67,
03/01/2024,03/03/2024,AIR CANADA  0144262107302,Travel,Sale,-52.80,
03/01/2024,03/03/2024,AIR CANADA  0144262107301,Travel,Sale,-52.80,
02/29/2024,03/01/2024,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-206.50,
02/29/2024,03/01/2024,SHRED415,Health & Wellness,Sale,-169.00,
02/25/2024,02/27/2024,STARBUCKS STORE 02314,Food & Drink,Sale,-14.65,
02/26/2024,02/27/2024,DD DOORDASH SWEETGREE,Food & Drink,Sale,-63.14,
02/25/2024,02/26/2024,WHOLEFDS NPV 10129,Groceries,Sale,-20.33,
02/25/2024,02/26/2024,DD DOORDASH LAZYDOG,Food & Drink,Sale,-57.30,
02/24/2024,02/25/2024,DD DOORDASH AURELIOSP,Food & Drink,Sale,-52.23,
02/20/2024,02/21/2024,RITUAL (RITUAL.COM),Groceries,Sale,-33.58,
02/19/2024,02/20/2024,GLO NAIL LOUNGE,Personal,Sale,-120.00,
02/15/2024,02/16/2024,DD DOORDASH SWEETGREE,Food & Drink,Sale,-75.19,
02/14/2024,02/14/2024,MED*ABC PEDIATRICS LTD,Health & Wellness,Sale,-30.00,
02/11/2024,02/13/2024,STARBUCKS STORE 60979,Food & Drink,Sale,-17.10,
02/11/2024,02/12/2024,DD DOORDASH JEWEL-OSC,Food & Drink,Sale,-19.80,
02/11/2024,02/12/2024,DD DOORDASH LAZYDOG,Food & Drink,Sale,-75.86,
02/10/2024,02/12/2024,COURTYARD SANTA MONICA,Travel,Sale,-674.45,
02/11/2024,02/12/2024,CL *Chase Travel,Travel,Sale,-1143.20,
02/11/2024,02/11/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-186.03,
02/08/2024,02/09/2024,DD DOORDASH CURRITO,Food & Drink,Sale,-55.54,
02/08/2024,02/08/2024,AUTOMATIC PAYMENT - THANK,,Payment,414.23,
02/06/2024,02/07/2024,LinkedIn Pre 9195282996,Bills & Utilities,Sale,-69.99,
02/04/2024,02/05/2024,SEPHORA NAPERVILLE,Shopping,Sale,-113.14,
02/02/2024,02/04/2024,UBER   TRIP,Travel,Sale,-92.72,
02/01/2024,02/04/2024,TST* 515 N STATE-COFFEE K,Food & Drink,Sale,-3.92,
02/01/2024,02/02/2024,UBER   TRIP,Travel,Sale,-12.78,
02/01/2024,02/02/2024,DD DOORDASH SWEETGREE,Food & Drink,Sale,-88.91,
02/01/2024,02/02/2024,UBER   TRIP,Travel,Sale,-85.23,
01/31/2024,02/01/2024,SHRED415 NAPERVILLE,Health & Wellness,Sale,-169.00,
01/30/2024,01/31/2024,JAMES AND SONS - NAPERVIL,Shopping,Sale,-1635.48,
01/28/2024,01/30/2024,PLAYROOM CAFE TWO  LLC,Food & Drink,Sale,-16.00,
01/26/2024,01/28/2024,HUGOS FROG BAR &amp; FISH HOU,Food & Drink,Sale,-308.50,
01/21/2024,01/22/2024,GLO NAIL LOUNGE,Personal,Sale,-65.00,
01/20/2024,01/22/2024,STARBUCKS STORE 60979,Food & Drink,Sale,-2.88,
01/20/2024,01/22/2024,STARBUCKS STORE 60979,Food & Drink,Sale,-16.61,
01/20/2024,01/22/2024,TARGET        00019034,Groceries,Sale,-112.10,
01/18/2024,01/21/2024,UNITED      0164269606600,Travel,Sale,-45.00,
01/18/2024,01/21/2024,VendingCustomerService.co,Shopping,Sale,-7.71,
01/18/2024,01/21/2024,COURTYARD BY MARRIOTT,Travel,Sale,-664.14,
01/19/2024,01/21/2024,UBER   TRIP,Travel,Sale,-52.46,
01/18/2024,01/21/2024,STARBUCKS A/B CON 6289,Food & Drink,Sale,-23.31,
01/18/2024,01/21/2024,UNITED      0164269607024,Travel,Sale,-35.00,
01/18/2024,01/21/2024,UNITED      0162357549615,Travel,Sale,-276.10,
01/18/2024,01/19/2024,UBER   TRIP,Travel,Sale,-31.93,
01/16/2024,01/18/2024,CIAO T1 C11 ORD,Food & Drink,Sale,-22.38,
01/16/2024,01/17/2024,UBER   TRIP,Travel,Sale,-79.37,
01/15/2024,01/16/2024,CASEYS FOODS,Groceries,Sale,-23.32,
01/14/2024,01/16/2024,MICHAELS STORES 4809,Shopping,Sale,-26.36,
01/14/2024,01/16/2024,UNITED      0164268589606,Travel,Sale,-89.00,
01/14/2024,01/15/2024,SHRED415 NAPERVILLE,Health & Wellness,Sale,-35.00,
01/14/2024,01/15/2024,DD DOORDASH SUSHINAPE,Food & Drink,Sale,-146.39,
01/13/2024,01/15/2024,SHELL OIL 57444173207,Gas,Sale,-32.07,
01/14/2024,01/15/2024,KIDSNIPS,Personal,Sale,-33.00,
01/11/2024,01/12/2024,LONGEVITY SPA - NAPERV,Health & Wellness,Sale,-1140.00,
01/12/2024,01/12/2024,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-184.60,
01/11/2024,01/11/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-158.38,
01/08/2024,01/08/2024,Payment Thank You - Web,,Payment,4000.00,
01/05/2024,01/07/2024,GLO NAIL LOUNGE,Personal,Sale,-140.00,
01/06/2024,01/07/2024,LinkedIn Pre 9080317326,Bills & Utilities,Sale,-69.99,
01/01/2024,01/03/2024,SHRED415 NAPERVILLE,Health & Wellness,Sale,-139.00,
12/30/2023,01/01/2024,GLO NAIL LOUNGE,Personal,Sale,-65.00,
12/31/2023,01/01/2024,RITUAL (RITUAL.COM),Groceries,Sale,-39.68,
